name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3
78,positive,0.8181818181818182,90.9090909090909,0.0,0.0,9.090909090909092,90.9090909090909,90.9090909090909,0.0,0.0,0.0,0.0,0.0,90.9090909090909,18.181818181818183,30.76923076923077,23.076923076923077,7.6923076923076925,0,0,1,0
79,negative,5.5,36.36363636363637,9.090909090909092,9.090909090909092,45.45454545454545,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,0.0,36.36363636363637,18.181818181818183,30.76923076923077,30.76923076923077,0.0,0,3,0,0
8,positive,3.9181818181818184,54.54545454545454,0.0,9.090909090909092,36.36363636363637,54.54545454545454,54.54545454545454,0.0,0.0,0.0,0.0,0.0,45.45454545454545,18.181818181818183,23.076923076923077,23.076923076923077,0.0,0,2,0,0
80,positive,0.9090909090909091,90.9090909090909,0.0,0.0,9.090909090909092,90.9090909090909,90.9090909090909,0.0,0.0,0.0,0.0,0.0,90.9090909090909,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
81,negative,9.090909090909092,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,2,0,0
82,negative,9.781818181818183,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,0,0,0
83,negative,8.027272727272727,18.181818181818183,0.0,0.0,81.81818181818183,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,18.181818181818183,9.090909090909092,15.384615384615385,15.384615384615385,0.0,0,1,0,0
84,negative,3.5454545454545454,63.63636363636363,0.0,0.0,36.36363636363637,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,63.63636363636363,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,2,0,0
85,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,46.15384615384615,46.15384615384615,0.0,0,2,0,0
86,positive,0.9090909090909091,90.9090909090909,0.0,0.0,9.090909090909092,90.9090909090909,90.9090909090909,0.0,0.0,0.0,0.0,0.0,90.9090909090909,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
9,negative,9.754545454545454,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
