name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3,sequencial_missing_6,sequencial_missing_9,sequencial_missing_12
63,negative,8.852941176470589,5.88235294117647,5.88235294117647,5.88235294117647,82.35294117647058,11.76470588235294,5.88235294117647,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
64,negative,6.229411764705882,35.294117647058826,0.0,11.76470588235294,52.94117647058824,35.294117647058826,35.294117647058826,0.0,0.0,0.0,0.0,5.88235294117647,11.76470588235294,0.0,21.052631578947366,15.789473684210526,5.263157894736842,0,1,1,0,0,0,0
65,positive,0.5882352941176471,94.11764705882352,0.0,0.0,5.88235294117647,94.11764705882352,94.11764705882352,0.0,0.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,15.789473684210526,15.789473684210526,0.0,0,3,0,0,0,0,0
66,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
67,negative,6.241176470588235,35.294117647058826,0.0,5.88235294117647,58.82352941176471,35.294117647058826,35.294117647058826,0.0,0.0,0.0,0.0,0.0,29.411764705882355,5.88235294117647,26.31578947368421,26.31578947368421,0.0,0,4,0,0,0,0,0
68,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
69,negative,6.923529411764706,23.52941176470588,5.88235294117647,11.76470588235294,58.82352941176471,29.411764705882355,23.52941176470588,0.0,0.0,0.0,0.0,0.0,11.76470588235294,5.88235294117647,26.31578947368421,26.31578947368421,0.0,0,1,2,0,0,0,0
7,negative,9.052941176470588,5.88235294117647,0.0,0.0,94.11764705882352,5.88235294117647,5.88235294117647,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,5.263157894736842,5.263157894736842,0.0,0,1,0,0,0,0,0
70,negative,9.517647058823528,0.0,5.88235294117647,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,15.789473684210526,15.789473684210526,0.0,0,2,0,0,0,0,0
71,negative,7.441176470588236,23.52941176470588,0.0,5.88235294117647,70.58823529411765,23.52941176470588,17.647058823529413,0.0,0.0,0.0,0.0,0.0,17.647058823529413,5.88235294117647,15.789473684210526,15.789473684210526,0.0,0,1,1,0,0,0,0
72,positive,0.6,88.23529411764706,5.88235294117647,5.88235294117647,0.0,94.11764705882352,94.11764705882352,0.0,0.0,0.0,0.0,0.0,82.35294117647058,5.88235294117647,15.789473684210526,15.789473684210526,0.0,0,1,0,0,0,0,0
73,positive,0.49411764705882355,94.11764705882352,0.0,0.0,5.88235294117647,94.11764705882352,94.11764705882352,0.0,0.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,21.052631578947366,21.052631578947366,0.0,0,2,1,0,0,0,0
74,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,15.789473684210526,15.789473684210526,0.0,0,1,1,0,0,0,0
75,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
76,positive,2.123529411764706,76.47058823529412,0.0,0.0,23.52941176470588,76.47058823529412,76.47058823529412,0.0,0.0,0.0,0.0,0.0,70.58823529411765,5.88235294117647,42.10526315789473,42.10526315789473,0.0,0,7,0,0,0,0,0
77,negative,7.447058823529412,17.647058823529413,5.88235294117647,11.76470588235294,64.70588235294117,23.52941176470588,23.52941176470588,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,0.0,21.052631578947366,21.052631578947366,0.0,0,0,2,0,0,0,0
78,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,36.84210526315789,31.57894736842105,5.263157894736842,0,1,1,0,0,0,0
79,negative,5.5470588235294125,35.294117647058826,11.76470588235294,11.76470588235294,41.17647058823529,47.05882352941176,47.05882352941176,0.0,0.0,0.0,0.0,0.0,23.52941176470588,5.88235294117647,36.84210526315789,36.84210526315789,0.0,0,4,0,0,0,0,0
8,positive,3.129411764705882,64.70588235294117,0.0,5.88235294117647,29.411764705882355,64.70588235294117,64.70588235294117,0.0,0.0,0.0,0.0,0.0,52.94117647058824,5.88235294117647,36.84210526315789,36.84210526315789,0.0,0,4,0,0,0,0,0
80,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
81,negative,8.335294117647058,17.647058823529413,0.0,0.0,82.35294117647058,17.647058823529413,11.76470588235294,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,0.0,10.526315789473683,10.526315789473683,0.0,0,2,0,0,0,0,0
82,negative,8.9,5.88235294117647,5.88235294117647,0.0,88.23529411764706,11.76470588235294,5.88235294117647,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,21.052631578947366,21.052631578947366,0.0,0,2,1,0,0,0,0
83,negative,8.258823529411766,17.647058823529413,0.0,0.0,82.35294117647058,17.647058823529413,17.647058823529413,0.0,0.0,0.0,0.0,0.0,11.76470588235294,5.88235294117647,15.789473684210526,15.789473684210526,0.0,0,3,0,0,0,0,0
84,negative,3.5352941176470587,64.70588235294117,0.0,0.0,35.294117647058826,64.70588235294117,64.70588235294117,0.0,0.0,0.0,0.0,0.0,52.94117647058824,5.88235294117647,15.789473684210526,15.789473684210526,0.0,0,3,0,0,0,0,0
85,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,57.89473684210527,57.89473684210527,0.0,1,2,0,0,1,0,0
86,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
9,negative,9.48235294117647,5.88235294117647,0.0,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,5.263157894736842,5.263157894736842,0.0,0,1,0,0,0,0,0
